nb;da;sv;en;fr;de;nn;se;smh;fkv;es
Du beskriver flere områder som ofte skaper vansker i ADHD. Dette er fortsatt ikke diagnostikk, men det kan være verdt en mer formell vurdering dersom dette skaper problemer i hverdagen.;Du beskriver flere områder, som ofte giver vanskeligheder ved ADHD. Dette er stadig ikke diagnostik, men det kan være værd at overveje en mere formel vurdering, hvis det skaber problemer i hverdagen;Du beskriver flera områden som ofta innebär svårigheter vid ADHD. Detta är fortfarande inte diagnostik, men det kan vara värt en mer formell bedömning om detta skapar problem i vardagen;You describe several areas that often create difficulties in ADHD. This is still not a diagnosis, but if these issues affect your daily life, a more formal assessment might be worthwhile.;Vous décrivez plusieurs domaines qui, souvent, posent des difficultés chez les personnes avec TDAH. Ce n’est toujours pas un diagnostic, mais il peut valoir la peine de demander une évaluation plus formelle si cela crée des problemer dans le quotidien.;Du beschreibst mehrere Bereiche, die bei ADHS oft zu Schwierigkeiten führen. Das ist dennoch keine Diagnostik, aber eine formellere Abklärung kann sinnvoll sein, falls es den Alltag belastet.;Du skildrar fleire område som ofte skaper vanskar ved ADHD. Dette er framleis ikkje diagnostikk, men det kan vere verdt ei meir formell vurdering dersom dette skaper problem i kvardagen.;Don čilge muhtun guovlluid mat dávjá čuovvulehket ADHD. Ii leat diagnostihkka, muhto sáhttá leat árvvoštallamatge go dát dagaha váttisvuođaid árbevirolaččat.;Don čilge máŋga áššiid mat váikkuhit ADHD birra. Ii leat diagnosa, muhto sáhttá leat árvvoštallat jos dat váikkuha beaivválaš doaimma;Sää kuvvailet useita alueita, jokka tiijethään luovan hankaluuksia ADHD:ssa. Tämä ei ole vieläkhään diagnostiikkaa, mutta se voijaa olla arvholista harkita virrallista arviointia jos tämä luopi probleemia arjessa.;Tus respuestas apuntan a varias áreas que suelen generar dificultades en el TDAH. Esto sigue sin ser un diagnóstico, pero puede valer la pena una evaluación más formal si esto te causa problemas en la vida diaria.
av 5;af 5;av 5;of 5;sur 5;von 5;av 5;5:s lea;ovtta 5:s;5:stä;de 5
Sendt;Sendt;Skickat;Sent;Envoyé;Gesendet;Sendt;Sádde;Sáddejuvvon;Lähetetty;Enviado
T-skår;T-score;T-poäng;T-score;T-score;T-Wert;T-skår;T-árvu;T-poeng;T-skoori;Puntuación T
Hva betyr T-skår?;Hvad betyder T-score?;Vad betyder T-poäng?;What does the T-score mean?;Que signifie le score T ?;Was bedeutet der T-Wert?;Kva betyr T-skår?;Maid T-árvu mearkkaša?;Maana T-poeng daajroeh?;Mitä T-skoori tarkoittaa?;¿Qué significa la puntuación T?
nb.tskår.md;da.tskår.md;sv.tskår.md;en.tskår.md;fr.tskår.md;de.tskår.md;nn.tskår.md;se.tskår.md;smh.tskår.md;fkv.tskår.md;es.tskår.md
Om testen;Om testen;Om testet;About the test;À propos du test;Über den Test;Om testen;Om testa;Om testen;Om testen;Sobre la prueba
Støtt arbeidet;Støt arbejdet;Stöd arbetet;Support the work;Soutenir le travail;Die Arbeit unterstützen;Støtt arbeidet;Doarjjo barggu;Doarjjo bargov;Tue työtä;Apoya el trabajo
Du kan støtte videre utvikling av ADHD-appen med en frivillig donasjon via Stripe.;Du kan støtte den videre udvikling af ADHD-appen med en frivillig donation via Stripe.;Du kan stödja den fortsatta utvecklingen av ADHD-appen med en frivillig donation via Stripe.;You can support the continued development of the ADHD app with a voluntary donation via Stripe.;Vous pouvez soutenir le développement de l’application ADHD par un don volontaire via Stripe.;Sie können die weitere Entwicklung der ADHD-App mit einer freiwilligen Spende über Stripe unterstützen.;Du kan støtte vidare utvikling av ADHD-appen med ein frivillig donasjon via Stripe.;Don sáhtát doarjut ADHD-appe viidáset ovdáneami iehčanassii vejolaš ruhtadoarjagiin Stripe bokte.;Don sáhttat doarjot ADHD-appen joarkkaovdáneami iehčanassii máksin Stripe bokte.;Sie voit tukea ADHD-appen jatkokehitystä vapaaehtoisella lahjoituksella Stripen kautta.;Puedes apoyar el desarrollo continuo de la app de TDAH con una donación voluntaria a través de Stripe.
Støtt ADHD-appen;Støt ADHD-appen;Stöd ADHD-appen;Support the ADHD app;Soutenir l’application ADHD;Die ADHD-App unterstützen;Støtt ADHD-appen;Doarjjo ADHD-appe;Doarjjo ADHD-appen;Tue ADHD-appia;Apoya la app de TDAH
Frivillig støtte til videre arbeid med ADHD-appen;Frivillig støtte til det videre arbejde med ADHD-appen;Frivilligt stöd till det fortsatta arbetet med ADHD-appen;Voluntary support for continued work on the ADHD app;Soutien volontaire à la poursuite du travail sur l’application ADHD;Freiwillige Unterstützung für die weitere Arbeit an der ADHD-App;Frivillig støtte til vidare arbeid med ADHD-appen;Iešvuođalaš doarjja joarkka bargui ADHD-appe birra;Iešvuođalaš doarjja joarkka bargui ADHD-appen birra;Vapaaehtoinen tuki ADHD-appin jatkotyölle;Apoyo voluntario al trabajo continuado con la app de TDAH
Beløp i NOK;Beløb i NOK;Belopp i NOK;Amount in NOK;Montant en NOK;Betrag in NOK;Beløp i NOK;Mearri NOK:s;Mearra NOK:s;Summa NOK:ssa;Importe en NOK
